"Transaction unique identifier","Price","Date of Transfer","Property Type","Old/New","Duration","Town/City","District","County","PPDCategory Type","Record Status - monthly file only"
"{4E95D757-1990-EDA1-E050-A8C0630539E2}","250000","2017-03-29 00:00","T","N","F","DUNSTABLE","CENTRAL BEDFORDSHIRE","CENTRAL BEDFORDSHIRE","A","A"
"{4E95D757-1991-EDA1-E050-A8C0630539E2}","197500","2017-04-13 00:00","T","N","F","BEDFORD","BEDFORD","BEDFORD","B","A"
"{4E95D757-1992-EDA1-E050-A8C0630539E2}","260000","2017-03-24 00:00","S","N","F","LUTON","LUTON","LUTON","A","A"
"{4E95D757-1993-EDA1-E050-A8C0630539E2}","110000","2017-03-21 00:00","F","N","L","BIGGLESWADE","CENTRAL BEDFORDSHIRE","CENTRAL BEDFORDSHIRE","A","A"
"{4E95D757-1BE2-EDA1-E050-A8C0630539E2}","670000","2017-04-07 00:00","T","N","F","WOODFORD GREEN","REDBRIDGE","GREATER LONDON","A","A"
"{4E95D757-1BE4-EDA1-E050-A8C0630539E2}","452000","2017-01-15 00:00","T","N","F","ILFORD","REDBRIDGE","GREATER LONDON","A","A"
"{4E95D757-1BE7-EDA1-E050-A8C0630539E2}","2500000","2017-04-07 00:00","F","N","L","LONDON","KENSINGTON AND CHELSEA","GREATER LONDON","A","A"
"{4E95D757-1BE8-EDA1-E050-A8C0630539E2}","450000","2017-03-17 00:00","F","N","L","ROMFORD","HAVERING","GREATER LONDON","A","A"
"{4E95D757-1BEA-EDA1-E050-A8C0630539E2}","725000","2017-03-17 00:00","F","N","L","LONDON","KENSINGTON AND CHELSEA","GREATER LONDON","A","A"
"{4E95D757-1BEC-EDA1-E050-A8C0630539E2}","1170000","2017-03-31 00:00","F","N","L","LONDON","KENSINGTON AND CHELSEA","GREATER LONDON","A","A"
"{4E95D757-1BED-EDA1-E050-A8C0630539E2}","275000","2017-03-15 00:00","F","N","L","ROMFORD","HAVERING","GREATER LONDON","A","A"
